Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,47.3575747311828,47.500014516129,47.263,48.7627535833333,47.8453125,49.4945975,49.9253308333333,49.9620177703972,50.2496147435897,50.325,46.4524610013175,46.747007738581,50.9214,55.3775,57.2475,61.1434615416667,67.8660857692308,68.0269040822312,72.083247177304,77.7379491783367,76.8135364354897,..,..,..,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,174.930991430166,138.706821676113,178.954088379235,198.871115728727,221.763653873013,254.184249149336,274.218553561575,376.223152003876,381.73323802844,452.053705477043,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,413.757894705303,..
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,706.727260967009,625.82781544115,630.512327648462,815.432296267735,989.015463629244,1126.2973233912,1235.26660811771,1381.5525968929,1447.54575437552,1408.75346659428,1628.90524793139,1761.98926096159,1732.03802145335,1706.02274412621,1690.16679245944,1498.8752400759,1334.47050032928,1528.10422421284,1552.07372194919,1507.08559963484,1351.59166910879,1562.41617477738,1679.32762166466,1571.44918918981,1615.39635562849
Africa Eastern and Southern,AFE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,518.969226054683,532.972787221754,619.337335030759,697.481256337088,838.213391665852,999.770023047319,1234.64185574403,1405.88018847409,1666.52048270501,1453.4952836253,1662.63365844147,1844.05436728177,1941.11824321812,2131.60609132899,2221.35033761012,1860.72768628324,1630.03943895258,1574.23056437855,1720.14009242722,2216.38505520833,2030.86165860293,2112.79407637079,2138.47315259913,1841.85506354867,1411.33702938476
Africa Western and Central,AFW,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,143.709416666666,143.484833333333,140.154515875,121.86325,102.780051196172,99.8702544808992,98.1033770912698,90.4278938310708,83.8946041005291,94.9781198203843,103.936666666666,100.895833333333,108.184166666666,105.669166666666,105.48,125.961666666666,124.1425,119.1,107.989166666666,109.850833333333,108.65,103.52,113.041666666666,100.645,93.1233333333333
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1160.42047054038,1326.41652388077,1479.83884572006,1908.69900687608,2446.90949947798,2741.72136549578,3057.77257038113,3743.05529896187,4498.50486763601,4213.65007574693,4149.14469936847,4465.70914328865,4280.93316338873,4542.92903556739,4793.59751131525,4199.53912925398,4457.63412207495,5006.36012951959,5897.65452588774,6069.43903131027,6027.91350716348,7242.45513146613,7756.96188744253,9730.86921906893,11377.7757431099
Albania,ALB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,4.2,..,..,2.7,..,..,0.8,..,..,..,1.8,..,3.7,1.1,1.1,1.4,1,0.3,0.3,..,..,..,..
Algeria,DZA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,75.2597916666666,77.2150208333333,79.6819,77.3949749999999,72.06065,73.2763083333333,72.6466166666666,69.2924,64.5827999999999,72.6474166666666,74.3859833333333,72.9378833333333,77.5359666666666,79.3684,80.5790166666666,100.691433333333,109.443066666666,110.973016666666,116.593791666666,119.353558333333,126.7768,135.064058333333,141.994975,135.842933333333,134.053241666666
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1772.92869122761,1896.30020878013,1937.46411413019,2283.77299346126,2816.99384960555,3233.13339634212,3660.66104745322,4167.45169937531,5180.91881514686,4235.42990456612,4912.78585503672,5916.31364364343,6033.64884689543,5979.60138960585,6094.69392314956,4685.05902729002,4424.98529027556,4554.66753957828,4577.21029180491,4468.45341883656,3743.5419522929,4160.55926736925,4960.30334332888,5370.477235078,5752.99076651465
Algeria,DZA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
